Spanish,English
que,that
de,of
no,No
la,the
el,he
es,is
y,and
en,in
lo,it
por,by
qué,that
me,I
una,a
los,the
se,He
con,with
para,for
mi,my
está,this
si,Yeah
bien,good
eso,that
sí,Yeah
tu,you
aquí,here
al,to the
como,as
le,you
más,further
esto,this
todo,all
esta,this
vamos,come on
muy,very
hay,there is
algo,something
estoy,I'm
tengo,I have
tú,you
nada,nothing
cuando,when
ha,ha
sé,HE
estás,are
así,So
puedo,I can
cómo,as
quiero,wanna
soy,am
gracias,thank you
él,he
bueno,Well
fue,was
ser,be
hacer,do
son,are
todos,all
era,was
tienes,have
creo,believe
he,I have
ese,that
voy,go
puede,can
sabes,You know
hola,hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,want
casa,home
favor,favor
esa,that
dos,two
señor,Sir
tiempo,time
verdad,True
estaba,was
